Ocupation,MODEL,BANK
PASTOR,IONIQ 5 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
COMMERCIAL DIRECTOR,KONA 1.6 DCT HYBRID ELITE (S/R),NO FINANCE - CASH PAYMENT
SALES DIRECTOR,KONA 1.6 DCT HYBRID ELITE (S/R),NO FINANCE - CASH PAYMENT
MANAGER,KONA 1.6 DCT HYBRID ELITE (S/R),NO FINANCE - CASH PAYMENT
DIRECTOR,IONIQ 6 ELECTRIC AWD,NO FINANCE - CASH PAYMENT
SALES MANAGER,IONIQ 5 ELECTRIC PRESTIGE 2WD,DBS BANK LTD
DRIVER,KONA 1.6 DCT HYBRID ELITE (S/R),NO FINANCE - CASH PAYMENT
RETIREE,KONA 1.6 DCT HYBRID ELITE (S/R),NO FINANCE - CASH PAYMENT
DIRECTOR,KONA 1.6 DCT HYBRID ELITE (S/R),NO FINANCE - CASH PAYMENT
BANKER,IONIQ 5 ELECTRIC PRESTIGE 2WD,HL BANK
SELF EMPLOYED,KONA 1.6 DCT HYBRID ELITE (S/R),OCBC Bank
PROPERTY EXCUTIVE,IONIQ 5 ELECTRIC PRESTIGE 2WD,DBS BANK LTD
DIRECTOR,IONIQ 5 ELECTRIC PRESTIGE 2WD,NO FINANCE - CASH PAYMENT
PROJECT MANAGER,KONA 1.6 DCT HYBRID ELITE (S/R),MAYBANK SINGAPORE LIMITED
CIVIL SERVANT,KONA 1.6 DCT HYBRID ELITE (S/R),MAYBANK SINGAPORE LIMITED
BUSINESSMAN,IONIQ 6 ELECTRIC AWD,MAYBANK SINGAPORE LIMITED
INVESTOR,IONIQ 5 ELECTRIC PRESTIGE 2WD 77KWH,MAYBANK SINGAPORE LIMITED
RETIREE,KONA 1.6 DCT HYBRID ELITE (S/R),NO FINANCE - CASH PAYMENT
SYSTEM ENGINEER,IONIQ 5 ELECTRIC PRESTIGE 2WD,NO FINANCE - CASH PAYMENT
DOCTOR,IONIQ 5 ELECTRIC PRESTIGE 2WD,NO FINANCE - CASH PAYMENT
